"ΗΜ/ΝΙΑ ΚΙΝΗΣΗΣ";ΗΜ/ΝΙΑ ΑΞΙΑΣ;ΠΕΡΙΓΡΑΦΗ;ΠΟΣΟ;ΥΠΟΛΟΙΠΟ
06/09/2019;06/09/2019;ICEROLL;-1,70;15.133,52
05/09/2019;05/09/2019;SUSHI RO PEIRA GR;-49,00;15.135,22
05/09/2019;05/09/2019;D TSOTSOLOS & SIA IKE;-1,00;15.184,22
04/09/2019;04/09/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-560,00;15.185,22
04/09/2019;04/09/2019;OASA 5167320407627132 - 289015;-30,00;15.745,22
02/09/2019;02/09/2019;ICEROLL;-1,70;15.775,22
30/08/2019;30/08/2019;201908SA;2.244,21;15.776,92
27/08/2019;27/08/2019;ELLINIKA LAVRI GR;-5,08;13.532,71
26/08/2019;26/08/2019;SAFRAN   ASTIP GR;-44,00;13.537,79
26/08/2019;26/08/2019;EKO;-37,00;13.581,79
23/08/2019;23/08/2019;GIANNARA PEIRA GR;-6,00;13.618,79
22/08/2019;22/08/2019;CHRISTOP ASTYP GR;-61,70;13.624,79
21/08/2019;21/08/2019;KOLOKYTH ASTIP GR;-13,00;13.686,49
20/08/2019;20/08/2019;STEFANOP ASTYP GR;-53,55;13.699,49
20/08/2019;20/08/2019;TERZIS K ASTIP GR;-42,00;13.753,04
19/08/2019;19/08/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-20,00;13.795,04
19/08/2019;19/08/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-80,00;13.815,04
16/08/2019;16/08/2019;RERRAS E ANAVI GR;-54,40;13.895,04
16/08/2019;16/08/2019;CHATZIKO ANAVI GR;-10,00;13.949,44
16/08/2019;16/08/2019;BP-ROSGOVASTHEODOROPOU;-33,30;13.959,44
16/08/2019;16/08/2019;COM POO ANASTASIA KAI THANASI,;-2,35;13.992,74
16/08/2019;16/08/2019;POO ANASTASIA KAI THANASI, TIS;-70,00;13.995,09
16/08/2019;16/08/2019;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,50;14.065,09
16/08/2019;16/08/2019;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-41,00;14.065,59
14/08/2019;14/08/2019;TELARO   ATHIN GR;-3,60;14.106,59
14/08/2019;14/08/2019;ICEROLL;-1,70;14.110,19
12/08/2019;12/08/2019;DIETHNEIS GEFSEIS AE;-5,60;14.111,89
12/08/2019;12/08/2019;VRAKAS S PIREA GR;-12,00;14.117,49
12/08/2019;12/08/2019;MARIDA   LAVRI GR;-53,50;14.129,49
12/08/2019;12/08/2019;ΠΛΗΡΩΜΗ OASA POS;-13,50;14.182,99
09/08/2019;09/08/2019;CREME ROYALE EE;-6,00;14.196,49
08/08/2019;08/08/2019;D TSOTSOLOS & SIA IKE;-1,00;14.202,49
08/08/2019;08/08/2019;ICEROLL;-1,70;14.203,49
08/08/2019;08/08/2019;D NTOUMAKIS KAI SIA EE;-10,00;14.205,19
07/08/2019;07/08/2019;JOHN HIG ATHIN GR;-38,20;14.215,19
07/08/2019;07/08/2019;CREME ROYALE EE;-4,40;14.253,39
07/08/2019;07/08/2019;CREME ROYALE EE;-2,40;14.257,79
06/08/2019;06/08/2019;PAPAMICH PERIS GR;-12,50;14.260,19
06/08/2019;06/08/2019;OI ANGEL PEIRA GR;-3,00;14.272,69
05/08/2019;05/08/2019;CREME ROYALE EE;-2,70;14.275,69
02/08/2019;02/08/2019;ICEROLL;-3,70;14.278,39
31/07/2019;31/07/2019;ΚΑΤΑΘΕΣΗ ΜΕΤΡΗΤΩΝ ΜΕΣΩ ΑΤΜ;80,00;14.282,09
31/07/2019;31/07/2019;MURATI A PEIRA GR;-4,60;14.202,09
31/07/2019;31/07/2019;EKSOFLISIIOYLIOY;1.682,03;14.206,69
31/07/2019;31/07/2019;HOAGIES EE;-17,50;12.524,66
30/07/2019;30/07/2019;D TSOTSOLOS & SIA IKE;-1,00;12.542,16
29/07/2019;29/07/2019;ΒΕΒΑΙΩΜΕΝΕΣ ΟΦΕΙΛΕΣ -144063417;-192,93;12.543,16
26/07/2019;26/07/2019;ICEROLL;-1,70;12.736,09
25/07/2019;25/07/2019;D TSOTSOLOS & SIA IKE;-1,00;12.737,79
24/07/2019;24/07/2019;ICEROLL;-1,70;12.738,79
23/07/2019;23/07/2019;CHRISTOS LAVRI GR;-0,90;12.740,49
23/07/2019;23/07/2019;KOINONIA LEGRE GR;-4,10;12.741,39
22/07/2019;22/07/2019;KOINONIA LEGRE GR;-4,10;12.745,49
19/07/2019;19/07/2019;ICEROLL;-1,70;12.749,59
16/07/2019;16/07/2019;ICEROLL;-1,70;12.751,29
16/07/2019;16/07/2019;CREME ROYALE EE;-5,20;12.752,99
15/07/2019;15/07/2019;PAYPAL * 35314 GR;-10,00;12.758,19
12/07/2019;12/07/2019;CREME ROYALE EE;-2,50;12.768,19
12/07/2019;12/07/2019;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,50;12.770,69
12/07/2019;12/07/2019;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-20,22;12.771,19
12/07/2019;12/07/2019;PAPADOPOULOU CHRISTINA;-11,40;12.791,41
11/07/2019;11/07/2019;ΠΛΗΡΩΜΗ OASA POS;-30,00;12.802,81
09/07/2019;09/07/2019;ARISTOS  VOURK GR;-121,30;12.832,81
09/07/2019;09/07/2019;ΠΡΟΜΗΘΕΙΑ ΣΥΝΑΛΛΑΓΜΑΤΟΣ;-1,00;12.954,11
09/07/2019;09/07/2019;Amazon P amzn. LU        7,99;-9,22;12.955,11
08/07/2019;08/07/2019;CREME ROYALE EE;-7,00;12.964,33
08/07/2019;08/07/2019;VOUGKAKO ATHIN GR;-79,00;12.971,33
05/07/2019;05/07/2019;JUMBO PIREAS LIMANI;-31,90;13.050,33
05/07/2019;05/07/2019;CHYMOPOI ATHIN GR;-5,25;13.082,23
05/07/2019;05/07/2019;CREME ROYALE EE;-2,70;13.087,48
02/07/2019;02/07/2019;TSAGARAK AIGAL GR;-370,00;13.090,18
02/07/2019;02/07/2019;MAPINOY  ΩEIPA GR;-3,50;13.460,18
01/07/2019;01/07/2019;CHATZOUL ATHIN GR;-1,60;13.463,68
01/07/2019;01/07/2019;MPAIRAKT ATHIN GR;-1,85;13.465,28
01/07/2019;01/07/2019;MPAIRAKT ATHIN GR;-1,40;13.467,13
01/07/2019;01/07/2019;ΦΟΡΟΣ ΤΟΚΩΝ;-0,18;13.468,53
01/07/2019;01/07/2019;ΠΙΣΤΩΤΙΚΟΙ ΤΟΚΟΙ;1,21;13.468,71
01/07/2019;01/07/2019;HOAGIES EE;-17,90;13.467,50
28/06/2019;28/06/2019;ATTIKA POLIKATASTIMATA;-66,00;13.485,40
28/06/2019;28/06/2019;201906SA;2.612,89;13.551,40
27/06/2019;27/06/2019;ICEROLL;-1,70;10.938,51
25/06/2019;25/06/2019;A KAI N  LEGRA GR;-82,50;10.940,21
25/06/2019;25/06/2019;CHRISTOS LAVRI GR;-2,50;11.022,71
24/06/2019;24/06/2019;σουβλακια;-8,00;11.025,21
24/06/2019;24/06/2019;KALYPSO 002 EKO GLYFADA;-6,50;11.033,21
24/06/2019;24/06/2019;ICEROLL;-1,70;11.039,71
18/06/2019;18/06/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-20,00;11.041,41
14/06/2019;14/06/2019;FOS GIA OTI ANAVEI;-14,00;11.061,41
13/06/2019;13/06/2019;ANASTASI CHAID GR;-97,16;11.075,41
13/06/2019;13/06/2019;A2097 GR PEIRA GR;-2,70;11.172,57
11/06/2019;11/06/2019;VRAKAS S PIREA GR;-12,00;11.175,27
10/06/2019;10/06/2019;ΠΡΟΜΗΘΕΙΑ ΣΥΝΑΛΛΑΓΜΑΤΟΣ;-1,00;11.187,27
10/06/2019;10/06/2019;Amazon P amzn. LU        7,99;-9,32;11.188,27
10/06/2019;10/06/2019;ΠΛΗΡΩΜΗ OASA POS;-30,00;11.197,59
10/06/2019;10/06/2019;LE GRECHE;-1,00;11.227,59
10/06/2019;10/06/2019;LE GRECHE;-9,00;11.228,59
10/06/2019;10/06/2019;HOAGIES EE;-14,90;11.237,59
07/06/2019;07/06/2019;WWW.ALIE INTER GB;-18,77;11.252,49
07/06/2019;07/06/2019;ICEROLL;-1,70;11.271,26
03/06/2019;03/06/2019;ELINOIL;-303,76;11.272,96
31/05/2019;31/05/2019;201905SAPARYROLL;1.944,85;11.576,72
30/05/2019;30/05/2019;D TSOTSOLOS & SIA IKE;-1,00;9.631,87
29/05/2019;29/05/2019;ICEROLL;-1,70;9.632,87
28/05/2019;28/05/2019;PANAGIOT ATHIN GR;-37,30;9.634,57
27/05/2019;27/05/2019;EN ETHRI N FIL GR;-8,00;9.671,87
27/05/2019;27/05/2019;D TSOTSOLOS & SIA IKE;-1,00;9.679,87
27/05/2019;27/05/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-40,00;9.680,87
20/05/2019;20/05/2019;HAJDARI  PEIRA GR;-9,20;9.720,87
20/05/2019;20/05/2019;ICEROLL;-1,70;9.730,07
16/05/2019;16/05/2019;FUZZ PRO MOSXA GR;-90,00;9.731,77
15/05/2019;15/05/2019;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,50;9.821,77
15/05/2019;15/05/2019;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-89,40;9.822,27
15/05/2019;15/05/2019;μπαταρια καμερας;-39,00;9.911,67
14/05/2019;14/05/2019;SUSHI RO PEIRA GR;-53,20;9.950,67
13/05/2019;13/05/2019;HAJDARI  PEIRA GR;-3,80;10.003,87
13/05/2019;13/05/2019;IMEROVIGLI PEIRAIKI EE;-52,00;10.007,67
13/05/2019;13/05/2019;HOAGIES EE;-22,90;10.059,67
13/05/2019;13/05/2019;ICEROLL;-1,70;10.082,57
10/05/2019;10/05/2019;ICEROLL;-1,70;10.084,27
09/05/2019;09/05/2019;ΠΡΟΜΗΘΕΙΑ ΣΥΝΑΛΛΑΓΜΑΤΟΣ;-1,00;10.085,97
09/05/2019;09/05/2019;Amazon P amzn. LU        7,99;-9,60;10.086,97
09/05/2019;09/05/2019;ΠΛΗΡΩΜΗ OASA POS;-30,00;10.096,57
08/05/2019;08/05/2019;PAYPAL * 35314 LU;9,14;10.126,57
08/05/2019;08/05/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-200,00;10.117,43
03/05/2019;03/05/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-50,00;10.317,43
02/05/2019;02/05/2019;D TSOTSOLOS & SIA IKE;-1,00;10.367,43
24/04/2019;24/04/2019;ERMIS AEMEE YP MA PEIRAIOS 234;-45,72;10.368,43
24/04/2019;24/04/2019;PAYROLL201904SA;2.352,22;10.414,15
17/04/2019;17/04/2019;VADEL MO NAFPA GR;-115,00;8.061,93
16/04/2019;16/04/2019;CENTROPO NAFPA GR;-16,00;8.176,93
16/04/2019;16/04/2019;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,30;8.192,93
16/04/2019;16/04/2019;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-17,47;8.193,23
15/04/2019;15/04/2019;FOTEINI  PEIRA GR;-4,18;8.210,70
15/04/2019;15/04/2019;ATHANASOPOULOS KONSTANTINOS;-62,00;8.214,88
09/04/2019;09/04/2019;ΠΡΟΜΗΘΕΙΑ ΣΥΝΑΛΛΑΓΜΑΤΟΣ;-1,00;8.276,88
09/04/2019;09/04/2019;Amazon P amzn. LU        7,99;-9,59;8.277,88
08/04/2019;08/04/2019;PAYPAL * 35314 LU;-14,10;8.287,47
08/04/2019;08/04/2019;ΠΛΗΡΩΜΗ OASA POS;-30,00;8.301,57
03/04/2019;03/04/2019;FARMAKEI PEIRA GR;-9,20;8.331,57
29/03/2019;29/03/2019;AFOI D   KIFIS GR;-65,00;8.340,77
29/03/2019;29/03/2019;201303PAYROLLSA;1.588,39;8.405,77
28/03/2019;28/03/2019;WOK SHOP;-43,48;6.817,38
26/03/2019;26/03/2019;TRIFONOP NEA F GR;-14,50;6.860,86
22/03/2019;22/03/2019;MATTHAIOS MANOLESSOS;-3,90;6.875,36
21/03/2019;21/03/2019;ICEROLL;-1,70;6.879,26
19/03/2019;19/03/2019;OVERSHOP PEIRA GR;-12,90;6.880,96
19/03/2019;19/03/2019;SUSHI RO PEIRA GR;-32,30;6.893,86
18/03/2019;18/03/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-40,00;6.926,16
15/03/2019;15/03/2019;ICEROLL;-1,70;6.966,16
13/03/2019;13/03/2019;ICEROLL;-1,70;6.967,86
12/03/2019;12/03/2019;ΠΡΟΜΗΘΕΙΑ ΣΥΝΑΛΛΑΓΜΑΤΟΣ;-1,00;6.969,56
12/03/2019;12/03/2019;AMZN Mkt 800-2 LU        3,88;-4,65;6.970,56
12/03/2019;12/03/2019;PAYPAL * 35314 LU;-9,14;6.975,21
12/03/2019;12/03/2019;PAYPAL * 35314 LU;-4,96;6.984,35
12/03/2019;12/03/2019;STRANOMI LAVRI GR;-50,60;6.989,31
12/03/2019;12/03/2019;KYRLAGKI ATHIN GR;-7,10;7.039,91
07/03/2019;07/03/2019;ΠΛΗΡΩΜΗ OASA POS;-30,00;7.047,01
06/03/2019;06/03/2019;ICEROLL;-1,70;7.077,01
01/03/2019;01/03/2019;VRAKAS S PIREA GR;-12,00;7.078,71
01/03/2019;01/03/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-300,00;7.090,71
28/02/2019;28/02/2019;ZEAS KRE PERIS GR;-26,59;7.390,71
28/02/2019;28/02/2019;201902 PAYROLL;1.554,02;7.417,30
25/02/2019;25/02/2019;VERMOUTH ATHIN GR;-28,00;5.863,28
25/02/2019;25/02/2019;LE GRECHE;-6,00;5.891,28
22/02/2019;22/02/2019;MPAIRAKT ATHIN GR;-3,90;5.897,28
21/02/2019;21/02/2019;B KOUTI  NEA F GR;-23,00;5.901,18
19/02/2019;19/02/2019;TECHSTOR MOSCH GR;-38,80;5.924,18
19/02/2019;19/02/2019;GEVMATA  PEIRA GR;-62,00;5.962,98
18/02/2019;18/02/2019;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,30;6.024,98
18/02/2019;18/02/2019;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-34,94;6.025,28
15/02/2019;15/02/2019;VILLAGE PALAIO FALIRO;-5,60;6.060,22
11/02/2019;11/02/2019;DOLCE    ANAVI GR;-22,40;6.065,82
05/02/2019;05/02/2019;TRIANTAF PEIRA GR;-19,50;6.088,22
05/02/2019;05/02/2019;KENKO MO NEA S GR;-74,00;6.107,72
04/02/2019;04/02/2019;ΠΛΗΡΩΜΗ OASA POS;-30,00;6.181,72
01/02/2019;01/02/2019;ICEROLL;-3,70;6.211,72
01/02/2019;01/02/2019;HOAGIES EE;-13,70;6.215,42
31/01/2019;31/01/2019;PAYROLL201901;1.593,08;6.229,12
30/01/2019;30/01/2019;ERMIS AEMEE YP MA PEIRAIOS 234;-51,10;4.636,04
30/01/2019;30/01/2019;VITINIOT KARDI GR;22,78;4.687,14
29/01/2019;29/01/2019;VITINIOT KARDI GR;-22,78;4.664,36
28/01/2019;28/01/2019;PP*3933C 35314 LU;1,50;4.687,14
18/01/2019;18/01/2019;MAPINOY  ΩEIPA GR;-7,00;4.685,64
14/01/2019;14/01/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-100,00;4.692,64
14/01/2019;14/01/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-200,00;4.792,64
14/01/2019;14/01/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-600,00;4.992,64
07/01/2019;07/01/2019;PP*3933C 35314 LU;-1,50;5.592,64
07/01/2019;07/01/2019;PAYPAL * 35314 LU;-8,26;5.594,14
03/01/2019;03/01/2019;Αγορα μηχανης Κουλαουζιδης Χαρ;-4.000,00;5.602,40
03/01/2019;03/01/2019;AQUA DI  N FIL GR;-26,40;9.602,40
02/01/2019;02/01/2019;ΠΛΗΡΩΜΗ OASA POS;-30,00;9.628,80
02/01/2019;01/01/2019;ΦΟΡΟΣ ΤΟΚΩΝ;-0,10;9.658,80
02/01/2019;01/01/2019;ΠΙΣΤΩΤΙΚΟΙ ΤΟΚΟΙ;0,69;9.658,90
31/12/2018;31/12/2018;FLIPPER  ATHIN GR;-20,00;9.658,21
31/12/2018;31/12/2018;MARVI CA ATHIN GR;-30,70;9.678,21
27/12/2018;27/12/2018;PO BOYS  ATHIN GR;-25,50;9.708,91
27/12/2018;27/12/2018;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,30;9.734,41
27/12/2018;27/12/2018;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-17,47;9.734,71
24/12/2018;24/12/2018;D KAI TH THEODOROPOULOS OE;-41,50;9.752,18
24/12/2018;24/12/2018;VRAKAS S PIREA GR;-12,00;9.793,68
24/12/2018;24/12/2018;G AND K  PIREA GR;-38,00;9.805,68
20/12/2018;20/12/2018;PRL DEC 2018;3.850,75;9.843,68
13/12/2018;13/12/2018;HAJDARI  PEIRA GR;-3,80;5.992,93
10/12/2018;10/12/2018;SQUARE S KIFIS GR;-64,50;5.996,73
06/12/2018;06/12/2018;CHATZIXRISTODOULOU;-10,00;6.061,23
03/12/2018;03/12/2018;G AND K  PIREA GR;-48,00;6.071,23
03/12/2018;03/12/2018;ΠΛΗΡΩΜΗ OASA POS;-30,00;6.119,23
03/12/2018;03/12/2018;ΒΑΡΚΑ;-2.000,00;6.149,23
30/11/2018;30/11/2018;Payroll November2018;1.474,05;8.149,23
27/11/2018;27/11/2018;ISTIOPLO PEIRA GR;-10,50;6.675,18
19/11/2018;19/11/2018;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,30;6.685,68
19/11/2018;19/11/2018;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-34,94;6.685,98
05/11/2018;05/11/2018;BROS TSI KIFIS GR;-75,50;6.720,92
05/11/2018;05/11/2018;ΠΛΗΡΩΜΗ OASA POS;-13,50;6.796,42
31/10/2018;31/10/2018;Payroll 102018;2.357,82;6.809,92
30/10/2018;30/10/2018;DYOSMOS  PEIRA GR;-39,50;4.452,10
30/10/2018;30/10/2018;KLM SA M ΩEIPA GR;-48,80;4.491,60
"";;;;
"";;;;
"";;ΑΡΙΘΜΟΣ ΛΟΓΑΡΙΑΣΜΟΥ: GR7902600760000560200865596;;
"";;ΔΙΚΑΙΟΥΧΟΙ ΛΟΓΑΡΙΑΣΜΟΥ: ΚΟΥΛΑΟΥΖΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ ΙΩΑΝΝΗΣ;;
